epoch,batch,loss,task_loss,coherence,diversity,entropy_reg,sparsity,entropy,lambda_coherence,lambda_diversity,lambda_entropy,epsilon_mod,coherence_variance,num_islands,ocean_proximity_mean,spec_mean,spec_max,grad_history_idx,lifecycle_phase
0,0,2.4043166637420654,2.311960458755493,0.9966949224472046,0.03789527341723442,-0.6498254537582397,0.484375,0.6498254537582397,0.10450000000000001,0.12100000000000002,0.01,1.0,0.0023327376693487167,4,0.16484607756137848,0.05535915493965149,0.10000000149011612,,
0,1,2.470884084701538,2.3572652339935303,0.9912415146827698,0.0355556458234787,-0.6931471824645996,0.5,0.6931471824645996,0.12644500000000003,0.14641000000000004,0.01,1.0,0.002267061499878764,4,0.16276195645332336,0.10020530223846436,0.1899999976158142,,
0,2,2.41353178024292,2.2791736125946045,0.970533013343811,0.032317835837602615,-0.6931471824645996,0.5,0.6931471824645996,0.15299845000000004,0.17715610000000007,0.01,1.0,0.0021279859356582165,4,0.1675344556570053,0.1406141221523285,0.2709999978542328,,
0,3,2.471515417098999,2.31058669090271,0.9557968378067017,0.026889711618423462,-0.6498255133628845,0.484375,0.6498255133628845,0.18512812450000007,0.2143588810000001,0.01,1.0,0.002059251768514514,4,0.17322635650634766,0.1720130294561386,0.2717217803001404,,
0,4,2.501034736633301,2.3001294136047363,0.9800004363059998,0.027596890926361084,-0.6498255133628845,0.484375,0.6498255133628845,0.22400503064500013,0.25937424601000014,0.01,1.5,0.002552963560447097,4,0.17426705360412598,0.21261951327323914,0.34454959630966187,,
0,5,2.5324249267578125,2.295501708984375,0.9488500952720642,0.030430927872657776,-0.6498255133628845,0.484375,0.6498255133628845,0.2710460870804502,0.3138428376721002,0.01,1.5,0.001954921055585146,4,0.18070821464061737,0.24640658497810364,0.41009461879730225,,
0,6,2.600397825241089,2.318119764328003,0.9081829786300659,0.049324434250593185,-0.6931471824645996,0.5,0.6931471824645996,0.3279657653673448,0.37974983358324127,0.01,1.5,0.001723122433759272,4,0.19056910276412964,0.26719552278518677,0.46908512711524963,,
0,7,2.641023635864258,2.294060230255127,0.9336994290351868,0.03707904741168022,-0.6931471824645996,0.5,0.6931471824645996,0.39683857609448725,0.45949729863572203,0.01,1.5,0.0020036364439874887,4,0.19385237991809845,0.29293039441108704,0.5221766233444214,,
0,8,2.706238269805908,2.273193359375,0.9853377342224121,0.016011914238333702,-0.6498255133628845,0.484375,0.6498255133628845,0.48017467707432965,0.5559917313492238,0.01,1.5,0.0024005526211112738,4,0.19010071456432343,0.3202773928642273,0.5699589848518372,,
0,9,2.8014140129089355,2.3055856227874756,0.9020509719848633,0.04096503183245659,-0.6931471824645996,0.5,0.6931471824645996,0.581011359259939,0.6727499949325609,0.01,1.5,0.0021158969029784203,4,0.19765402376651764,0.33865633606910706,0.612963080406189,,
0,10,2.940459966659546,2.316645622253418,0.9451757073402405,0.03345118835568428,-0.6498255133628845,0.484375,0.6498255133628845,0.7030237447045263,0.8140274938683988,0.01,1.5,0.0022965644020587206,4,0.19905756413936615,0.34656280279159546,0.5861160755157471,,
0,11,2.9161856174468994,2.3022849559783936,0.7572292685508728,0.03787985444068909,-0.6931471824645996,0.5,0.6931471824645996,0.850658731092477,0.9849732675807628,0.01,1.5,0.0014207185013219714,4,0.20225077867507935,0.3672226071357727,0.6275044679641724,,
0,12,3.226264476776123,2.310225486755371,0.9448413848876953,0.037843476980924606,-0.6931471824645996,0.5,0.6931471824645996,1.0,1.0,0.01,1.5,0.0023363588843494654,4,0.2027723789215088,0.38336804509162903,0.6647540330886841,,
0,13,3.2802398204803467,2.2907097339630127,0.9529339671134949,0.042156968265771866,-0.6498255133628845,0.484375,0.6498255133628845,1.0,1.0,0.01,1.5,0.002632289659231901,4,0.20271508395671844,0.3979112207889557,0.6560884714126587,,
0,14,3.233651876449585,2.294689178466797,0.8965980410575867,0.04835863783955574,-0.6931471824645996,0.5,0.6931471824645996,1.0,1.0,0.01,1.5,0.00233028014190495,4,0.20830798149108887,0.4048159718513489,0.6904796361923218,,
0,15,3.249741792678833,2.3016746044158936,0.9111698865890503,0.04265714809298515,-0.6931471824645996,0.5,0.6931471824645996,1.0,1.0,0.01,1.5,0.0027750746812671423,4,0.20987509191036224,0.41639193892478943,0.7214316725730896,,
0,16,3.191985845565796,2.2570154666900635,0.9025052785873413,0.03853753209114075,-0.6931471824645996,0.5,0.6931471824645996,1.0,1.0,0.01,1.5,0.0024112253449857235,4,0.2135244607925415,0.44247594475746155,0.7492884993553162,,
